"Airradians_TranscriptID","blastxEval_CvirgTranscriptID","blastxEval_CvirgProteinID","blastxEval_CvirgGeneID","meanLength","blastxEval_CvirgGOterms"
"evm.model.Contig225.126","XM_022486262.1","LOC111135849","60S ribosomal protein L13-like",212,"GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig225.127","XM_022486261.1","LOC111135848","trifunctional nucleotide phosphoesterase protein YfkN-like",599,"GO:0003674;GO:0009058;GO:0034655;GO:0044281"
"evm.model.Contig225.128","XM_022487399.1","LOC111136506","phosphorylated CTD-interacting factor 1-like",677,"GO:0003674"
"evm.model.Contig225.129","XM_022478611.1",NA,NA,NA,NA
"evm.model.Contig225.13","XM_022480114.1","LOC111132316","uncharacterized",611,"GO:0043167"
"evm.model.Contig225.130","XM_022476103.1","LOC111129643","katanin p80 WD40 repeat-containing subunit B1-like",667.5,"GO:0005737;GO:0005815;GO:0007010;GO:0008092;GO:0032991"
"evm.model.Contig225.132","XM_022487571.1","LOC111136602","core-binding factor subunit beta-like",223.666666666667,"GO:0003674;GO:0005634;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig225.135","XM_022486110.1",NA,NA,NA,NA
"evm.model.Contig225.136","XM_022483210.1","LOC111134304","CCR4-NOT transcription complex subunit 1-like",2434.2,"GO:0005622;GO:0006412;GO:0032991"
"evm.model.Contig225.137","XM_022488618.1","LOC111137239","uncharacterized",333,"GO:0003674"
"evm.model.Contig225.138","XM_022482828.1","LOC111134045","BTB/POZ domain-containing protein kctd15-like",262,"GO:0003674;GO:0065003"
"evm.model.Contig225.139","XM_022490291.1",NA,NA,NA,NA
"evm.model.Contig225.14","XM_022478631.1","LOC111131211","uncharacterized",768,"GO:0043167"
"evm.model.Contig225.140","XM_022490292.1","LOC111138364","secretory immunoglobulin A-binding protein EsiB-like",174,"GO:0003674"
"evm.model.Contig225.141","XM_022489448.1","LOC111137797","dynein light chain roadblock-type 2",96.5,"GO:0005856;GO:0008150;GO:0032991"
"evm.model.Contig225.143","XM_022481866.1","LOC111133439","metallophosphoesterase 1-like",394,"GO:0003674;GO:0006464;GO:0006629;GO:0009058"
"evm.model.Contig225.144","XM_022447783.1","LOC111111043","magnesium-dependent phosphatase 1-like",164,"GO:0016791"
"evm.model.Contig225.146","XM_022434744.1",NA,NA,NA,NA
"evm.model.Contig225.148.1","XM_022471801.1","LOC111126885","ATP-dependent RNA helicase DEAH12, chloroplastic-like",1671,"GO:0004386;GO:0043167"
"evm.model.Contig225.15","XM_022460676.1","LOC111120028","uncharacterized",308,"GO:0005575;GO:0007165;GO:0043167"
"evm.model.Contig225.151","XM_022483103.1","LOC111134235","cytochrome b5-like",131,"GO:0003674"
"evm.model.Contig225.154","XM_022484657.1","LOC111135001","synaptic vesicle membrane protein VAT-1 homolog-like",389,"GO:0016491"
"evm.model.Contig225.155","XM_022489227.1","LOC111137661","protein arginine N-methyltransferase 5-like",633,"GO:0006464;GO:0008168"
"evm.model.Contig225.156.1","XM_022487907.1",NA,NA,NA,NA
"evm.model.Contig225.157","XM_022487417.1","LOC111136517","nucleolar protein 9-like",585,"GO:0003723"
"evm.model.Contig225.158","XM_022486927.1","LOC111136222","AFG3-like protein 2",823,"GO:0005575;GO:0008233;GO:0043167"
"evm.model.Contig225.159","XM_022430411.1","LOC111099063","peptidyl-prolyl cis-trans isomerase-like 2",522,"GO:0006457;GO:0006464;GO:0016853"
"evm.model.Contig225.16","XM_022453995.1","LOC111115300","zinc finger protein 76-like",714,"GO:0003674"
"evm.model.Contig225.160","XM_022446997.1","LOC111110483","FMRFamide receptor-like",377,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig225.17","XM_022467095.1","LOC111124236","acetolactate synthase-like protein",633,"GO:0043167"
"evm.model.Contig225.18","XM_022471370.1",NA,NA,NA,NA
"evm.model.Contig225.19","XM_022465737.1","LOC111123426","uncharacterized",1252,"GO:0008233;GO:0043167"
"evm.model.Contig225.2","XM_022482829.1",NA,NA,NA,NA
"evm.model.Contig225.20","XM_022461845.1","LOC111120824","farnesyl pyrophosphate synthase-like",352,"GO:0006629;GO:0009058;GO:0016765"
"evm.model.Contig225.21","XM_022465696.1",NA,NA,NA,NA
"evm.model.Contig225.23","XM_022472663.1","LOC111127474","endothelin-converting enzyme 1-like",774,"GO:0007165;GO:0008233"
"evm.model.Contig225.24","XM_022462221.1","LOC111121092","beta-hexosaminidase-like",936,"GO:0005975;GO:0006629;GO:0009056;GO:0016798"
"evm.model.Contig225.25","XM_022462221.1","LOC111121092","beta-hexosaminidase-like",936,"GO:0005975;GO:0006629;GO:0009056;GO:0016798"
"evm.model.Contig225.26","XM_022462221.1","LOC111121092","beta-hexosaminidase-like",936,"GO:0005975;GO:0006629;GO:0009056;GO:0016798"
"evm.model.Contig225.27","XM_022486197.1","LOC111135820","cysteinyl leukotriene receptor 2-like",367,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig225.3","XM_022487352.1","LOC111136477","uncharacterized",754.666666666667,"GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641;GO:0043167"
"evm.model.Contig225.32","XM_022464515.1","LOC111122660","beta-1,3-galactosyltransferase 1-like",404,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"evm.model.Contig225.33","XM_022481734.1","LOC111133381","ceramide kinase-like",428.6,"GO:0016301;GO:0034641;GO:0044281;GO:0051186"
"evm.model.Contig225.36","XM_022483288.1","LOC111134347","galactoside 2-alpha-L-fucosyltransferase 2-like",351.666666666667,"GO:0005575;GO:0005975;GO:0006629;GO:0009058;GO:0016757"
"evm.model.Contig225.37","XM_022483291.1",NA,NA,NA,NA
"evm.model.Contig225.38","XM_022483286.1",NA,NA,NA,NA
"evm.model.Contig225.39","XM_022440687.1","LOC111106139","uncharacterized",495.2,"GO:0043167"
"evm.model.Contig225.40","XM_022482035.1",NA,NA,NA,NA
"evm.model.Contig225.41","XM_022486183.1","LOC111135803","Y+L amino acid transporter 2-like",489,"GO:0005575;GO:0022857"
"evm.model.Contig225.42","XM_022486260.1","LOC111135847","large neutral amino acids transporter small subunit 1-like",479,"GO:0005575;GO:0022857"
"evm.model.Contig225.44","XM_022456835.1",NA,NA,NA,NA
"evm.model.Contig225.45","XM_022456835.1",NA,NA,NA,NA
"evm.model.Contig225.46","XM_022456835.1",NA,NA,NA,NA
"evm.model.Contig225.47","XM_022456835.1",NA,NA,NA,NA
"evm.model.Contig225.48","XM_022476614.1","LOC111130015","calmodulin-beta-like",152,"GO:0043167"
"evm.model.Contig225.49","XM_022473621.1","LOC111128149","uncharacterized",1060.5,"GO:0003674"
"evm.model.Contig225.50.1","XM_022484653.1","LOC111134999","WD repeat-containing protein 7-like",1503,"GO:0003674"
"evm.model.Contig225.51","XR_002639347.1",NA,NA,NA,NA
"evm.model.Contig225.52","XM_022490270.1","LOC111138344","triple QxxK/R motif-containing protein-like",98,"GO:0005737;GO:0005783"
"evm.model.Contig225.58","XM_022490090.1",NA,NA,NA,NA
"evm.model.Contig225.59.1","XM_022486161.1",NA,NA,NA,NA
"evm.model.Contig225.60","XM_022482204.1",NA,NA,NA,NA
"evm.model.Contig225.61","XM_022487061.1","LOC111136305","CCAAT/enhancer-binding protein gamma-like",129,"GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig225.62","XM_022487060.1","LOC111136304","CCAAT/enhancer-binding protein beta-like",309,"GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig225.65","XM_022430631.1","LOC111099200","WW domain-containing oxidoreductase-like",406,"GO:0003674"
"evm.model.Contig225.70","XM_022488372.1","LOC111137108","uncharacterized",1108,"GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641;GO:0043167"
"evm.model.Contig225.71.4","XM_022488372.1","LOC111137108","uncharacterized",1108,"GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641;GO:0043167"
"evm.model.Contig225.72","XM_022486783.1",NA,NA,NA,NA
"evm.model.Contig225.73","XM_022488775.1",NA,NA,NA,NA
"evm.model.Contig225.74","XM_022484027.1","LOC111134716","ranBP-type and C3HC4-type zinc finger-containing protein 1-like",940.5,"GO:0003674"
"evm.model.Contig225.75_evm.model.Contig225.76","XM_022484027.1","LOC111134716","ranBP-type and C3HC4-type zinc finger-containing protein 1-like",940.5,"GO:0003674"
"evm.model.Contig225.77","XM_022481018.1","LOC111132998","repressor of RNA polymerase III transcription MAF1 homolog",234.666666666667,"GO:0009058;GO:0034641"
"evm.model.Contig225.78","XM_022481016.1","LOC111132997","ubiquitin carboxyl-terminal hydrolase CYLD-like",895,"GO:0006464;GO:0008233"
"evm.model.Contig225.8","XM_022479148.1","LOC111131551","glycine N-acyltransferase-like protein 3",276,"GO:0005739;GO:0016746"
"evm.model.Contig225.80","XM_022484534.1","LOC111134940","tyrosine-protein phosphatase non-receptor type 2-like",436,"GO:0006464;GO:0006520;GO:0016791"
"evm.model.Contig225.82","XM_022487881.1",NA,NA,NA,NA
"evm.model.Contig225.84","XM_022488798.1",NA,NA,NA,NA
"evm.model.Contig225.85","XM_022488994.1","LOC111137518","DNA replication complex GINS protein PSF2-like",192.5,"GO:0005634;GO:0009058"
"evm.model.Contig225.86","XM_022489572.1",NA,NA,NA,NA
"evm.model.Contig225.88","XM_022487645.1","LOC111136644","proteasome subunit beta type-5-like",523.5,"GO:0005622;GO:0008233;GO:0009056;GO:0032991;GO:0043167"
"evm.model.Contig225.88","XM_022487645.1","LOC111136644","proteasome subunit beta type-5-like",523.5,"GO:0005622;GO:0008233;GO:0009056;GO:0032991"
"evm.model.Contig225.89","XM_022483102.1","LOC111134234","uncharacterized",256,"GO:0003674"
"evm.model.Contig225.9","XM_022479148.1","LOC111131551","glycine N-acyltransferase-like protein 3",276,"GO:0005739;GO:0016746"
"evm.model.Contig225.90","XM_022480483.1",NA,NA,NA,NA
"evm.model.Contig225.91","XM_022479762.1","LOC111132095","lisH domain and HEAT repeat-containing protein KIAA1468 homolog",1148.5,"GO:0003674;GO:0005794;GO:0006810"
"evm.model.Contig225.92","XM_022482697.1","LOC111133950","zinc finger protein 436-like",661,"GO:0003674"
"evm.model.Contig225.93.1","XM_022482695.1","LOC111133949","zinc finger protein 354B-like",782,"GO:0003677"
"evm.model.Contig225.94","XM_022488803.1","LOC111137365","NF-kappa-B inhibitor alpha-like",345,"GO:0003674"
"evm.model.Contig225.96","XM_022485309.1","LOC111135342","centrosomal protein of 72 kDa-like",646,"GO:0003674;GO:0005815;GO:0008150"
"evm.model.Contig225.97","XM_022488482.1","LOC111137162","F-box only protein 15-like",498,"GO:0003674"
"evm.model.Contig2253.1","XM_022479285.1",NA,NA,NA,NA
"evm.model.Contig2258.1","XM_022476155.1","LOC111129694","usherin-like",5972,"GO:0003674"
"evm.model.Contig226.1","XM_022447412.1",NA,NA,NA,NA
"evm.model.Contig226.10","XM_022447412.1",NA,NA,NA,NA
"evm.model.Contig226.14","XM_022472509.1",NA,NA,NA,NA
"evm.model.Contig226.24","XM_022472457.1","LOC111127327","uncharacterized",303,"GO:0003674"
"evm.model.Contig226.3","XM_022442736.1",NA,NA,NA,NA
"evm.model.Contig226.33","XM_022465892.1","LOC111123504","acetylcholine receptor subunit alpha-type acr-16-like",451,"GO:0005575;GO:0007165;GO:0022857"
"evm.model.Contig226.34","XM_022479760.1","LOC111132094","WSCD family member CG9164-like",288,"GO:0003674"
"evm.model.Contig226.4","XM_022445264.1","LOC111109182","ATP-dependent DNA helicase RecQ-like",456,"GO:0043167"
"evm.model.Contig226.40","XM_022478497.1","LOC111131116","peptidyl-prolyl cis-trans isomerase-like",164,"GO:0006457;GO:0006464;GO:0016853"
"evm.model.Contig226.45","XM_022449387.1",NA,NA,NA,NA
"evm.model.Contig226.47","XM_022446644.1","LOC111110238","uncharacterized",294.2,"GO:0003677;GO:0006259"
"evm.model.Contig226.48","XM_022471205.1","LOC111126513","uncharacterized",651,"GO:0043167"
"evm.model.Contig226.49","XM_022471205.1","LOC111126513","uncharacterized",651,"GO:0043167"
"evm.model.Contig226.5","XM_022446660.1",NA,NA,NA,NA
"evm.model.Contig226.52","XM_022471205.1","LOC111126513","uncharacterized",651,"GO:0043167"
"evm.model.Contig226.53","XM_022471205.1","LOC111126513","uncharacterized",651,"GO:0043167"
"evm.model.Contig226.55","XM_022469039.1","LOC111125331","heavy metal-binding protein HIP-like",360,"GO:0003674"
"evm.model.Contig226.56","XM_022472657.1","LOC111127471","epidermal growth factor receptor-like",298,"GO:0005575;GO:0006464;GO:0007165;GO:0016301;GO:0043167"
"evm.model.Contig226.57","XM_022472657.1","LOC111127471","epidermal growth factor receptor-like",298,"GO:0005575;GO:0006464;GO:0007165;GO:0016301;GO:0043167"
"evm.model.Contig226.58","XM_022467244.1","LOC111124392","uncharacterized",9957,"GO:0003674;GO:0005576;GO:0008150"
"evm.model.Contig226.62","XM_022477237.1","LOC111130326","multidrug resistance-associated protein 7-like",1539,"GO:0005575;GO:0016887;GO:0022857;GO:0043167"
"evm.model.Contig226.63","XM_022470604.1",NA,NA,NA,NA
"evm.model.Contig226.64","XM_022465080.1","LOC111123003","catenin beta-like",832,"GO:0003674"
"evm.model.Contig226.68","XM_022471518.1","LOC111126698","WD repeat-containing protein 86-like",402,"GO:0003674"
"evm.model.Contig226.69","XM_022471518.1","LOC111126698","WD repeat-containing protein 86-like",402,"GO:0003674"
"evm.model.Contig226.7","XM_022472509.1",NA,NA,NA,NA
"evm.model.Contig226.70","XM_022471518.1","LOC111126698","WD repeat-containing protein 86-like",402,"GO:0003674"
"evm.model.Contig226.71","XM_022446560.1","LOC111110170","sulfotransferase family cytosolic 1B member 1-like",294,"GO:0003674"
"evm.model.Contig226.72","XM_022470299.1","LOC111125978","E3 ubiquitin-protein ligase NRDP1-like",335,"GO:0003674;GO:0006464"
"evm.model.Contig226.73","XM_022439282.1","LOC111105109","uncharacterized",327,"GO:0003677;GO:0008219;GO:0009058;GO:0019899;GO:0034641"
"evm.model.Contig226.74","XM_022479366.1",NA,NA,NA,NA
"evm.model.Contig226.75","XM_022468271.1","LOC111124940","nephrocystin-3-like",1312,"GO:0003674"
"evm.model.Contig226.76","XM_022468571.1","LOC111125100","inositol-trisphosphate 3-kinase homolog",453,"GO:0009058;GO:0016301;GO:0044281"
"evm.model.Contig226.79","XM_022482649.1",NA,NA,NA,NA
"evm.model.Contig226.8","XM_022476090.1",NA,NA,NA,NA
"evm.model.Contig226.80","XM_022458582.1",NA,NA,NA,NA
"evm.model.Contig226.85","XM_022441199.1","LOC111106496","DNA-binding protein P3A2-like",467,"GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig226.90","XM_022464646.1","LOC111122752","neuronal membrane glycoprotein M6-b-like",273.888888888889,"GO:0005575"
"evm.model.Contig226.91","XM_022464650.1","LOC111122752","neuronal membrane glycoprotein M6-b-like",273.888888888889,"GO:0005575"
"evm.model.Contig2268.1","XM_022445750.1","LOC111109574","long-chain-fatty-acid--CoA ligase-like",563,"GO:0003674"
"evm.model.Contig227.1","XM_022443854.1",NA,NA,NA,NA
"evm.model.Contig227.105","XM_022445752.1","LOC111109576","protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1-like",816,"GO:0006464;GO:0009058;GO:0016757"
"evm.model.Contig227.11","XM_022472152.1",NA,NA,NA,NA
"evm.model.Contig227.113","XM_022478154.1","LOC111130885","S-crystallin SL11-like",201,"GO:0003674"
"evm.model.Contig227.114","XM_022440862.1","LOC111106258","S-crystallin SL11-like",201,"GO:0003674"
"evm.model.Contig227.115","XM_022446769.1","LOC111110321","GTPase IMAP family member 7-like",445.5,"GO:0043167"
"evm.model.Contig227.116","XM_022473247.1","LOC111127918","non-symbiotic hemoglobin 1-like",186,"GO:0003674"
"evm.model.Contig227.118","XM_022446529.1","LOC111110146","centrosomal protein of 95 kDa-like",862,"GO:0005815"
"evm.model.Contig227.120","XM_022440946.1","LOC111106316","leucine-rich repeats and immunoglobulin-like domains protein 2",1221,"GO:0003674"
"evm.model.Contig227.123","XM_022441070.1",NA,NA,NA,NA
"evm.model.Contig227.124","XM_022440523.1",NA,NA,NA,NA
"evm.model.Contig227.125","XM_022441126.1","LOC111106452","N-fatty-acyl-amino acid synthase/hydrolase PM20D1-like",505,"GO:0003674"
"evm.model.Contig227.126","XM_022441126.1","LOC111106452","N-fatty-acyl-amino acid synthase/hydrolase PM20D1-like",505,"GO:0003674"
"evm.model.Contig227.127","XM_022442388.1","LOC111107272","sex peptide receptor-like",412,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig227.128","XM_022441029.1","LOC111106377","ankyrin repeat and protein kinase domain-containing protein 1-like",230,"GO:0003674"
"evm.model.Contig227.13","XM_022466324.1",NA,NA,NA,NA
"evm.model.Contig227.130","XM_022444348.1","LOC111108450","small nuclear ribonucleoprotein F",87,"GO:0005634;GO:0006397;GO:0022618;GO:0032991"
"evm.model.Contig227.131","XM_022444347.1","LOC111108449","mediator of RNA polymerase II transcription subunit 20-like",218,"GO:0003674;GO:0005654;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig227.132","XM_022444346.1","LOC111108448","urocanate hydratase-like",677,"GO:0006520;GO:0016829;GO:0034641"
"evm.model.Contig227.133","XM_022442529.1","LOC111107356","UDP-galactose translocator-like",345,"GO:0005794;GO:0022857"
"evm.model.Contig227.134","XM_022443320.1","LOC111107911","BTB/POZ domain-containing protein 6-like",486.5,"GO:0003674"
"evm.model.Contig227.135","XM_022443321.1","LOC111107912","alanine aminotransferase 2-like",481,"GO:0009058;GO:0043167"
"evm.model.Contig227.137","XM_022433095.1","LOC111100919","uncharacterized",875,"GO:0016491"
"evm.model.Contig227.138","XM_022478112.1","LOC111130855","glutathione S-transferase 1-like",204,"GO:0003674"
"evm.model.Contig227.139","XM_022446947.1","LOC111110445","glutathione S-transferase 1-like",203,"GO:0003674"
"evm.model.Contig227.14","XM_022443271.1","LOC111107872","synapsin-like",488,"GO:0006810;GO:0007267;GO:0031410;GO:0043167"
"evm.model.Contig227.140","XM_022461225.1","LOC111120486","glutathione S-transferase-like",203,"GO:0003674"
"evm.model.Contig227.141","XM_022463707.1","LOC111122121","glutathione S-transferase-like",203,"GO:0003674"
"evm.model.Contig227.142","XM_022440862.1","LOC111106258","S-crystallin SL11-like",201,"GO:0003674"
"evm.model.Contig227.143","XM_022478112.1","LOC111130855","glutathione S-transferase 1-like",204,"GO:0003674"
"evm.model.Contig227.144","XM_022478154.1","LOC111130885","S-crystallin SL11-like",201,"GO:0003674"
"evm.model.Contig227.145","XM_022432325.1",NA,NA,NA,NA
"evm.model.Contig227.19","XM_022471946.1","LOC111126983","probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5",119,"GO:0005739;GO:0006091;GO:0032991"
"evm.model.Contig227.2","XM_022447107.1","LOC111110557","cyclin-D-binding Myb-like transcription factor 1",721,"GO:0003677"
"evm.model.Contig227.20","XM_022443528.1","LOC111108042","uncharacterized",1103,"GO:0003674"
"evm.model.Contig227.21_evm.model.Contig227.22","XM_022443712.1","LOC111108124","IQ motif and SEC7 domain-containing protein 2-like",996.666666666667,"GO:0007165;GO:0019899"
"evm.model.Contig227.23","XM_022442444.1","LOC111107307","FYVE, RhoGEF and PH domain-containing protein 4-like",1139,"GO:0007165;GO:0019899;GO:0043167"
"evm.model.Contig227.25","XM_022453683.1","LOC111115095","vitamin D3 hydroxylase-associated protein-like",584,"GO:0006520;GO:0009056;GO:0016810;GO:0034641"
"evm.model.Contig227.26","XM_022447083.1","LOC111110541","uncharacterized",914,"GO:0008233"
"evm.model.Contig227.27","XM_022466776.1",NA,NA,NA,NA
"evm.model.Contig227.28","XM_022440041.1","LOC111105686","putative helicase MOV-10",1099.33333333333,"GO:0003723;GO:0004386;GO:0008150;GO:0016887"
"evm.model.Contig227.29","XM_022446714.1",NA,NA,NA,NA
"evm.model.Contig227.3","XM_022443589.1","LOC111108067","cyclin-D-binding Myb-like transcription factor 1",721,"GO:0003677"
"evm.model.Contig227.30","XM_022443302.1","LOC111107900","complement C1q tumor necrosis factor-related protein 3-like",181,"GO:0003674"
"evm.model.Contig227.31","XM_022443291.1","LOC111107890","cerebellin-1-like",182,"GO:0003674"
"evm.model.Contig227.32","XM_022440295.1","LOC111105847","carbohydrate sulfotransferase 11-like",375.5,"GO:0003674;GO:0005575;GO:0005975;GO:0009058"
"evm.model.Contig227.34","XM_022442638.1","LOC111107437","serine/threonine-protein kinase TBK1-like",750,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig227.35.1","XM_022443957.1","LOC111108221","cysteine-rich with EGF-like domain protein 2-B",384.5,"GO:0043167"
"evm.model.Contig227.37","XM_022464574.1","LOC111122701","putative carbonic anhydrase-like protein 1",311,"GO:0016829;GO:0043167;GO:0044281"
"evm.model.Contig227.38","XM_022440033.1","LOC111105682","uncharacterized",2299.33333333333,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig227.39","XM_022440032.1","LOC111105682","uncharacterized",2299.33333333333,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig227.4","XM_022440322.1","LOC111105866","succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial-like",433.5,"GO:0005737;GO:0006091;GO:0006790;GO:0016874;GO:0032991;GO:0034641;GO:0043167;GO:0044281;GO:0051186"
"evm.model.Contig227.41","XM_022446264.1","LOC111109973","isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like",397.428571428571,"GO:0006091;GO:0016491"
"evm.model.Contig227.45","XM_022445128.1","LOC111109039","PR domain zinc finger protein 14-like",476,"GO:0003674"
"evm.model.Contig227.47","XM_022490252.1",NA,NA,NA,NA
"evm.model.Contig227.48","XM_022443735.1",NA,NA,NA,NA
"evm.model.Contig227.49","XM_022443735.1",NA,NA,NA,NA
"evm.model.Contig227.51","XM_022443107.1","LOC111107763","uncharacterized",1335,"GO:0005634"
"evm.model.Contig227.52","XM_022441830.1","LOC111106945","protein SET-like",339,"GO:0005634;GO:0051276;GO:0065003"
"evm.model.Contig227.55.1","XM_022444771.1",NA,NA,NA,NA
"evm.model.Contig227.56","XM_022445477.1","LOC111109397","protein lin-37 homolog",238,"GO:0032991"
"evm.model.Contig227.57","XM_022447166.1","LOC111110603","pre-rRNA-processing protein TSR1 homolog",771.25,"GO:0005634;GO:0042254"
"evm.model.Contig227.58","XM_022447165.1","LOC111110601","histone acetyltransferase KAT2B-like",808,"GO:0005654;GO:0006464;GO:0009058;GO:0016746;GO:0032991;GO:0034641;GO:0051276"
"evm.model.Contig227.6","XM_022440040.1",NA,NA,NA,NA
"evm.model.Contig227.61","XM_022441648.1",NA,NA,NA,NA
"evm.model.Contig227.62","XM_022444337.1","LOC111108441","uncharacterized",1087,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig227.63","XM_022444337.1","LOC111108441","uncharacterized",1087,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig227.64","XM_022444337.1","LOC111108441","uncharacterized",1087,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig227.65","XM_022440724.1","LOC111106170","uncharacterized",994,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig227.66","XM_022440724.1","LOC111106170","uncharacterized",994,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig227.67","XM_022434789.1",NA,NA,NA,NA
"evm.model.Contig227.68.1","XM_022444924.1","LOC111108840","uncharacterized",1058,"GO:0005575;GO:0022857"
"evm.model.Contig227.69","XM_022441433.1","LOC111106667","leukotriene A-4 hydrolase-like",612.5,"GO:0008233;GO:0043167"
"evm.model.Contig227.70","XM_022440598.1",NA,NA,NA,NA
"evm.model.Contig227.71","XM_022444756.1",NA,NA,NA,NA
"evm.model.Contig227.73","XM_022440524.1","LOC111106016","proton-coupled folate transporter-like",447,"GO:0005575;GO:0055085"
"evm.model.Contig227.74","XM_022440524.1","LOC111106016","proton-coupled folate transporter-like",447,"GO:0005575;GO:0055085"
"evm.model.Contig227.75","XM_022440524.1","LOC111106016","proton-coupled folate transporter-like",447,"GO:0005575;GO:0055085"
"evm.model.Contig227.76","XM_022435992.1",NA,NA,NA,NA
"evm.model.Contig227.8","XM_022468022.1","LOC111124817","proprotein convertase subtilisin/kexin type 5-like",544.666666666667,"GO:0003674"
"evm.model.Contig227.80","XM_022440120.1",NA,NA,NA,NA
"evm.model.Contig227.82","XM_022442611.1",NA,NA,NA,NA
"evm.model.Contig227.83","XM_022446589.1","LOC111110194","ninjurin-1-like",119,"GO:0005575;GO:0006950;GO:0007155;GO:0040007;GO:0048856"
"evm.model.Contig227.85","XM_022442609.1",NA,NA,NA,NA
"evm.model.Contig227.86","XM_022446275.1","LOC111109983","ninjurin-1-like",119,"GO:0005575;GO:0006950;GO:0007155;GO:0040007;GO:0048856"
"evm.model.Contig227.88","XM_022442288.1","LOC111107204","uncharacterized",831.111111111111,"GO:0006464;GO:0006520;GO:0016791"
"evm.model.Contig227.9","XM_022472152.1",NA,NA,NA,NA
"evm.model.Contig227.90","XM_022435351.1","LOC111102559","carbohydrate sulfotransferase 11-like",447,"GO:0003674;GO:0005575;GO:0005975;GO:0009058"
"evm.model.Contig227.93","XM_022435351.1","LOC111102559","carbohydrate sulfotransferase 11-like",447,"GO:0003674;GO:0005575;GO:0005975;GO:0009058"
"evm.model.Contig227.96","XM_022490332.1","LOC111138396","beta-1,4-N-acetylgalactosaminyltransferase bre-4-like",268,"GO:0005975;GO:0016757"
"evm.model.Contig227.97","XM_022444583.1",NA,NA,NA,NA
"evm.model.Contig2277.1","XM_022479398.1","LOC111131732","uncharacterized",685,"GO:0008233"
"evm.model.Contig2277.3","XM_022476057.1","LOC111129603","tankyrase-like protein",2302,"GO:0006464;GO:0016757"
"evm.model.Contig228.105","XM_022450131.1","LOC111112585","RNA-binding motif, single-stranded-interacting protein 3-like",362.75,"GO:0003723"
"evm.model.Contig228.106","XM_022437694.1","LOC111104007","src substrate cortactin-like",832,"GO:0016491"
"evm.model.Contig228.107","XM_022462112.1","LOC111121023","S-adenosylmethionine synthase-like",387,"GO:0006520;GO:0006790;GO:0009058;GO:0016765;GO:0043167;GO:0051186"
"evm.model.Contig228.108","XM_022449012.1","LOC111111843","methylmalonic aciduria and homocystinuria type D homolog, mitochondrial-like",316,"GO:0044281;GO:0051186"
"evm.model.Contig228.109","XM_022451600.1","LOC111113368","RISC-loading complex subunit tarbp2-like",323,"GO:0003723;GO:0030234;GO:0034641"
"evm.model.Contig228.112","XM_022454873.1","LOC111115947","protein white-like",662,"GO:0005575;GO:0016887;GO:0043167"
"evm.model.Contig228.113","XM_022449533.1","LOC111112161","tripartite motif-containing protein 45-like",734,"GO:0043167"
"evm.model.Contig228.114","XM_022449790.1","LOC111112348","Werner syndrome ATP-dependent helicase homolog",1102,"GO:0004386;GO:0005694;GO:0006259;GO:0006950;GO:0009058;GO:0016887;GO:0043167"
"evm.model.Contig228.116","XM_022447364.1","LOC111110751","adenylate cyclase type 5-like",1137,"GO:0005886;GO:0007165;GO:0009058;GO:0016829;GO:0034641;GO:0044281"
"evm.model.Contig228.118","XM_022447337.1","LOC111110739","neuropeptide Y receptor type 4-like",695.375,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig228.12","XM_022450180.1","LOC111112605","talin-1-like",2558.30769230769,"GO:0005198;GO:0005856;GO:0007010;GO:0007155;GO:0008092"
"evm.model.Contig228.122","XM_022452973.1","LOC111114597","ATP synthase subunit beta, mitochondrial",524,"GO:0005622;GO:0009058;GO:0016887;GO:0022857;GO:0032991;GO:0034641;GO:0043167;GO:0044281"
