"TranscriptID","ProteinID","GeneID"
"XM_022451931.1","methylmalonic aciduria and homocystinuria type C protein homolog","LOC111113638"
"XM_022451932.1","protein IMPACT homolog","LOC111113639"
"XM_022451933.1","methylmalonic aciduria and homocystinuria type C protein homolog","LOC111113640"
"XM_022451934.1","methylmalonic aciduria and homocystinuria type C protein homolog","LOC111113641"
"XM_022451935.1","methylmalonic aciduria and homocystinuria type C protein homolog","LOC111113642"
"XM_022451936.1","uncharacterized","LOC111113633"
"XM_022451937.1","uncharacterized","LOC111113644"
"XM_022451938.1","uncharacterized","LOC111113645"
"XM_022451939.1","uncharacterized","LOC111113646"
"XM_022451940.1","zinc finger CCCH domain-containing protein 13-like","LOC111113647"
"XM_022451941.1","uncharacterized","LOC111113648"
"XM_022451942.1","uncharacterized","LOC111113649"
"XM_022451943.1","uncharacterized","LOC111113651"
"XM_022451944.1","receptor-type tyrosine-protein phosphatase U-like","LOC111113652"
"XM_022451945.1","protein draper-like","LOC111113653"
"XM_022451946.1","uncharacterized","LOC111113654"
"XM_022451947.1","receptor-type tyrosine-protein phosphatase zeta-like","LOC111113655"
"XM_022451948.1","multiple epidermal growth factor-like domains protein 10","LOC111113656"
"XM_022451949.1","ATP-dependent DNA helicase PIF1-like","LOC111113658"
"XM_022451950.1","uncharacterized","LOC111113659"
"XM_022451951.1","uncharacterized","LOC111113660"
"XM_022451952.1","uncharacterized FAD-linked oxidoreductase ARB_02478-like","LOC111113657"
"XM_022451953.1","uncharacterized","LOC111113661"
"XM_022451954.1","uncharacterized","LOC111113662"
"XM_022451955.1","uncharacterized","LOC111113663"
"XM_022451956.1","uncharacterized","LOC111113664"
"XM_022451957.1","prostate stem cell antigen-like","LOC111113665"
"XM_022451958.1","uncharacterized","LOC111113667"
"XM_022451959.1","A disintegrin and metalloproteinase with thrombospondin motifs 18-like","LOC111113668"
"XM_022451960.1","uncharacterized","LOC111113669"
"XM_022451961.1","uncharacterized","LOC111113666"
"XM_022451962.1","uncharacterized","LOC111113670"
"XM_022451963.1","ATP-dependent DNA helicase RecQ-like","LOC111113671"
"XM_022451964.1","uncharacterized","LOC111113672"
"XM_022451965.1","fucolectin-4-like","LOC111113673"
"XM_022451966.1","uncharacterized","LOC111113675"
"XM_022451967.1","uncharacterized","LOC111113676"
"XM_022451968.1","multiple epidermal growth factor-like domains protein 10","LOC111113678"
"XM_022451969.1","multiple epidermal growth factor-like domains protein 10","LOC111113679"
"XM_022451970.1","receptor-type tyrosine-protein phosphatase gamma-like","LOC111113680"
"XM_022451971.1","contactin-1a-like","LOC111113677"
"XM_022451972.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111113682"
"XM_022451973.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111113683"
"XM_022451974.1","multiple epidermal growth factor-like domains protein 10","LOC111113684"
"XM_022451975.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111113685"
"XM_022451976.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111113686"
"XM_022451977.1","uncharacterized","LOC111113687"
"XM_022451978.1","uncharacterized","LOC111113689"
"XM_022451979.1","uncharacterized","LOC111113690"
"XM_022451980.1","uncharacterized","LOC111113691"
"XM_022451981.1","uncharacterized protein At5g50100, mitochondrial-like","LOC111113688"
"XM_022451982.1","uncharacterized","LOC111113692"
"XM_022451983.1","multiple epidermal growth factor-like domains protein 11","LOC111113693"
"XM_022451984.1","uncharacterized","LOC111113592"
"XM_022451985.1","uncharacterized","LOC111113694"
"XM_022451986.1","uncharacterized","LOC111113695"
"XM_022451987.1","multiple epidermal growth factor-like domains protein 10","LOC111113696"
"XM_022451988.1","complement C1q-like protein 4","LOC111113699"
"XM_022451989.1","flocculation protein FLO11-like","LOC111113700"
"XM_022451990.1","uncharacterized","LOC111113701"
"XM_022451991.1","complement C1q-like protein 2","LOC111113698"
"XM_022451992.1","GTPase IMAP family member 4-like","LOC111113702"
"XM_022451993.1","uncharacterized","LOC111113703"
"XM_022451994.1","multiple epidermal growth factor-like domains protein 10","LOC111113704"
"XM_022451995.1","cell wall integrity and stress response component 4-like","LOC111113705"
"XM_022451996.1","tripartite motif-containing protein 2-like","LOC111113706"
"XM_022451997.1","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111113707"
"XM_022451998.1","C1q-related factor-like","LOC111113708"
"XM_022451999.1","uncharacterized","LOC111113710"
"XM_022452000.1","uncharacterized","LOC111113711"
"XM_022452001.1","perlucin-like protein","LOC111113712"
"XM_022452002.1","prenylcysteine oxidase-like","LOC111113709"
"XM_022452003.1","uncharacterized","LOC111113713"
"XM_022452004.1","E3 ubiquitin-protein ligase TRIM71-like","LOC111113714"
"XM_022452005.1","integumentary mucin A.1-like","LOC111113715"
"XM_022452006.1","serine-rich adhesin for platelets-like","LOC111113716"
"XM_022452007.1","uncharacterized","LOC111113717"
"XM_022452008.1","uncharacterized","LOC111113718"
"XM_022452009.1","uncharacterized","LOC111113719"
"XM_022452010.1","uncharacterized","LOC111113721"
"XM_022452011.1","multiple epidermal growth factor-like domains protein 10","LOC111113722"
"XM_022452012.1","zinc finger protein 280D-like","LOC111113720"
"XM_022452013.1","multiple epidermal growth factor-like domains protein 10","LOC111113724"
"XM_022452014.1","uncharacterized","LOC111113725"
"XM_022452015.1","uncharacterized","LOC111113726"
"XM_022452016.1","uncharacterized","LOC111113727"
"XM_022452017.1","tyrosine-protein phosphatase non-receptor type 11-like","LOC111113728"
"XM_022452018.1","protein jagged-1b-like","LOC111113729"
"XM_022452019.1","zinc finger protein 280D-like","LOC111113720"
"XM_022452020.1","uncharacterized","LOC111113730"
"XM_022452021.1","uncharacterized","LOC111113731"
"XM_022452022.1","uncharacterized","LOC111113732"
"XM_022452023.1","receptor-type tyrosine-protein phosphatase T-like","LOC111113733"
"XM_022452024.1","uncharacterized","LOC111113734"
"XM_022452025.1","receptor-type tyrosine-protein phosphatase T-like","LOC111113735"
"XM_022452026.1","uncharacterized","LOC111113736"
"XM_022452027.1","multiple epidermal growth factor-like domains protein 10","LOC111113738"
"XM_022452028.1","multiple epidermal growth factor-like domains protein 11","LOC111113739"
"XM_022452029.1","uncharacterized protein F54H12.2-like","LOC111113740"
"XM_022452030.1","uncharacterized","LOC111113741"
"XM_022452031.1","multiple epidermal growth factor-like domains protein 11","LOC111113742"
"XM_022452032.1","receptor-type tyrosine-protein phosphatase mu-like","LOC111113743"
"XM_022452033.1","receptor-type tyrosine-protein phosphatase mu-like","LOC111113744"
"XM_022452034.1","protein draper-like","LOC111113747"
"XM_022452035.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111113748"
"XM_022452036.1","uncharacterized","LOC111113745"
"XM_022452037.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111113749"
"XM_022452038.1","uncharacterized","LOC111113750"
"XM_022452039.1","receptor-type tyrosine-protein phosphatase mu-like","LOC111113751"
"XM_022452040.1","uncharacterized","LOC111113752"
"XM_022452041.1","uncharacterized","LOC111113753"
"XM_022452042.1","multiple epidermal growth factor-like domains protein 10","LOC111113754"
"XM_022452043.1","perlucin-like protein","LOC111113755"
"XM_022452044.1","CD209 antigen-like protein A","LOC111113757"
"XM_022452045.1","multiple epidermal growth factor-like domains protein 11","LOC111113758"
"XM_022452046.1","uncharacterized","LOC111113759"
"XM_022452047.1","DNA damage-regulated autophagy modulator protein 1-like","LOC111113756"
"XM_022452048.1","multiple epidermal growth factor-like domains protein 10","LOC111113760"
"XM_022452049.1","receptor-type tyrosine-protein phosphatase U-like","LOC111113761"
"XM_022452050.1","receptor-type tyrosine-protein phosphatase kappa-like","LOC111113762"
"XM_022452051.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111113763"
"XM_022452052.1","uncharacterized","LOC111113764"
"XM_022452053.1","multiple epidermal growth factor-like domains protein 6","LOC111113765"
"XM_022452054.1","deleted in malignant brain tumors 1 protein-like","LOC111113766"
"XM_022452055.1","DNA damage-regulated autophagy modulator protein 1-like","LOC111113756"
"XM_022452056.1","uncharacterized","LOC111113768"
"XM_022452057.1","uncharacterized","LOC111113768"
"XM_022452058.1","uncharacterized","LOC111113769"
"XM_022452059.1","protein draper-like","LOC111113770"
"XM_022452060.1","receptor-type tyrosine-protein phosphatase kappa-like","LOC111113771"
"XM_022452061.1","uncharacterized","LOC111113772"
"XM_022452062.1","cell death abnormality protein 1-like","LOC111113773"
"XM_022452063.1","DNA damage-regulated autophagy modulator protein 1-like","LOC111113756"
"XM_022452064.1","uncharacterized","LOC111113774"
"XM_022452065.1","uncharacterized","LOC111113775"
"XM_022452066.1","uncharacterized","LOC111113776"
"XM_022452067.1","uncharacterized","LOC111113777"
"XM_022452068.1","uncharacterized protein PB18E9.04c-like","LOC111113778"
"XM_022452069.1","serine-rich adhesin for platelets-like","LOC111113779"
"XM_022452070.1","DNA damage-regulated autophagy modulator protein 1-like","LOC111113756"
"XM_022452071.1","uncharacterized","LOC111113780"
"XM_022452072.1","tripartite motif-containing protein 3-like","LOC111113781"
"XM_022452073.1","uncharacterized","LOC111113782"
"XM_022452074.1","uncharacterized","LOC111113783"
"XM_022452075.1","uncharacterized","LOC111113784"
"XM_022452076.1","uncharacterized","LOC111113785"
"XM_022452077.1","uncharacterized","LOC111113786"
"XM_022452078.1","uncharacterized","LOC111113788"
"XM_022452079.1","tripartite motif-containing protein 2-like","LOC111113789"
"XM_022452080.1","uncharacterized","LOC111113790"
"XM_022452081.1","cysteine-rich venom protein latisemin-like","LOC111113787"
"XM_022452082.1","perlucin-like protein","LOC111113791"
"XM_022452083.1","uncharacterized","LOC111113792"
"XM_022452084.1","uncharacterized","LOC111113793"
"XM_022452085.1","multiple epidermal growth factor-like domains protein 10","LOC111113794"
"XM_022452086.1","CD209 antigen-like protein A","LOC111113795"
"XM_022452087.1","protein draper-like","LOC111113796"
"XM_022452088.1","uncharacterized protein F54H12.2-like","LOC111113797"
"XM_022452089.1","uncharacterized","LOC111113799"
"XM_022452090.1","EMILIN-2-like","LOC111113800"
"XM_022452091.1","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111113801"
"XM_022452092.1","neurogenic locus notch homolog protein 2-like","LOC111113798"
"XM_022452093.1","uncharacterized","LOC111113802"
"XM_022452094.1","EMILIN-2-like","LOC111113803"
"XM_022452095.1","mucin-1-like","LOC111113804"
"XM_022452096.1","uncharacterized","LOC111113805"
"XM_022452097.1","5'-nucleotidase-like","LOC111113806"
"XM_022452098.1","carbohydrate sulfotransferase 15-like","LOC111113807"
"XM_022452099.1","kunitz-type serine protease inhibitor-like","LOC111113809"
"XM_022452100.1","uncharacterized","LOC111113810"
"XM_022452101.1","uncharacterized","LOC111113811"
"XM_022452102.1","uncharacterized FAD-linked oxidoreductase ARB_02478-like","LOC111113808"
"XM_022452103.1","scavenger receptor class F member 2-like","LOC111113812"
"XM_022452104.1","multiple epidermal growth factor-like domains protein 10","LOC111113813"
"XM_022452105.1","uncharacterized","LOC111113814"
"XM_022452106.1","tissue factor pathway inhibitor-like","LOC111113815"
"XM_022452107.1","uncharacterized","LOC111113816"
"XM_022452108.1","histidine decarboxylase-like","LOC111113817"
"XM_022452109.1","uncharacterized","LOC111113818"
"XM_022452110.1","multiple epidermal growth factor-like domains protein 10","LOC111113820"
"XM_022452111.1","interleukin enhancer-binding factor 2 homolog","LOC111113821"
"XM_022452112.1","uncharacterized","LOC111113822"
"XM_022452113.1","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like","LOC111113819"
"XM_022452114.1","uncharacterized","LOC111113823"
"XM_022452115.1","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111113824"
"XM_022452116.1","uncharacterized","LOC111113825"
"XM_022452117.1","uncharacterized","LOC111113826"
"XM_022452118.1","uncharacterized","LOC111113827"
"XM_022452119.1","tripartite motif-containing protein 45-like","LOC111113828"
"XM_022452120.1","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like","LOC111113819"
"XM_022452121.1","uncharacterized","LOC111113829"
"XM_022452122.1","multiple epidermal growth factor-like domains protein 10","LOC111113830"
"XM_022452123.1","uncharacterized protein K02A2.6-like","LOC111113831"
"XM_022452124.1","uncharacterized","LOC111113832"
"XM_022452125.1","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like","LOC111113819"
"XM_022452126.1","uncharacterized","LOC111113834"
"XM_022452127.1","uncharacterized","LOC111113835"
"XM_022452128.1","NAD(P)H-hydrate epimerase-like","LOC111113836"
"XM_022452129.1","uncharacterized","LOC111113837"
"XM_022452130.1","uncharacterized","LOC111113838"
"XM_022452131.1","uncharacterized","LOC111113839"
"XM_022452132.1","protein IMPACT homolog","LOC111113841"
"XM_022452133.1","uncharacterized","LOC111113842"
"XM_022452134.1","uncharacterized","LOC111113843"
"XM_022452135.1","peroxisomal acyl-coenzyme A oxidase 1-like","LOC111113840"
"XM_022452136.1","multiple epidermal growth factor-like domains protein 10","LOC111113844"
"XM_022452137.1","multiple epidermal growth factor-like domains protein 10","LOC111113845"
"XM_022452138.1","uncharacterized","LOC111113846"
"XM_022452139.1","extensin-like","LOC111113847"
"XM_022452140.1","titin-like","LOC111113848"
"XM_022452141.1","uncharacterized","LOC111113849"
"XM_022452142.1","uncharacterized","LOC111113851"
"XM_022452143.1","uncharacterized","LOC111113852"
"XM_022452144.1","uncharacterized","LOC111113853"
"XM_022452145.1","uncharacterized","LOC111113850"
"XM_022452146.1","uncharacterized","LOC111113854"
"XM_022452147.1","uncharacterized","LOC111113855"
"XM_022452148.1","protein lin-41-like","LOC111113856"
"XM_022452149.1","uncharacterized","LOC111113857"
"XM_022452150.1","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111113858"
"XM_022452151.1","uncharacterized","LOC111113859"
"XM_022452152.1","zinc finger protein 62-like","LOC111113861"
"XM_022452153.1","uncharacterized","LOC111113862"
"XM_022452154.1","uncharacterized","LOC111113863"
"XM_022452155.1","sulfotransferase family cytosolic 1B member 1-like","LOC111113860"
"XM_022452156.1","methylmalonic aciduria and homocystinuria type C protein homolog","LOC111113864"
"XM_022452157.1","uncharacterized","LOC111113865"
"XM_022452158.1","multiple epidermal growth factor-like domains protein 10","LOC111113866"
"XM_022452159.1","protein YIPF3-like","LOC111113833"
"XM_022452160.1","NAD(P)H-hydrate epimerase-like","LOC111113867"
"XM_022452161.1","uncharacterized","LOC111113868"
"XM_022452162.1","uncharacterized","LOC111113869"
"XM_022452163.1","uncharacterized","LOC111113870"
"XM_022452164.1","uncharacterized","LOC111113872"
"XM_022452165.1","uncharacterized","LOC111113873"
"XM_022452166.1","uncharacterized","LOC111113874"
"XM_022452167.1","pro-neuropeptide Y-like","LOC111113871"
"XM_022452168.1","NAD(P)H-hydrate epimerase-like","LOC111113875"
"XM_022452169.1","uncharacterized","LOC111113876"
"XM_022452170.1","protein IMPACT homolog","LOC111113877"
"XM_022452171.1","platelet endothelial aggregation receptor 1-like","LOC111113878"
"XM_022452172.1","NAD(P)H-hydrate epimerase-like","LOC111113879"
"XM_022452173.1","uncharacterized","LOC111113880"
"XM_022452174.1","pro-neuropeptide Y-like","LOC111113871"
"XM_022452175.1","uncharacterized","LOC111113881"
"XM_022452176.1","multiple epidermal growth factor-like domains protein 6","LOC111113882"
"XM_022452177.1","platelet endothelial aggregation receptor 1-like","LOC111113883"
"XM_022452178.1","uncharacterized","LOC111113885"
"XM_022452179.1","MAM domain-containing protein 2-like","LOC111113886"
"XM_022452180.1","GATA zinc finger domain-containing protein 8-like","LOC111113888"
"XM_022452181.1","uncharacterized","LOC111113889"
"XM_022452182.1","neo-calmodulin-like","LOC111113887"
"XM_022452183.1","methylmalonic aciduria and homocystinuria type C protein homolog","LOC111113890"
"XM_022452184.1","uncharacterized","LOC111113892"
"XM_022452185.1","uncharacterized","LOC111113894"
"XM_022452186.1","uncharacterized","LOC111113895"
"XM_022452187.1","neo-calmodulin-like","LOC111113887"
"XM_022452188.1","uncharacterized","LOC111113897"
"XM_022452189.1","mucin-2-like","LOC111113898"
"XM_022452190.1","uncharacterized","LOC111113899"
"XM_022452191.1","uncharacterized","LOC111113900"
"XM_022452192.1","uncharacterized","LOC111113902"
"XM_022452193.1","neo-calmodulin-like","LOC111113887"
"XM_022452194.1","uncharacterized","LOC111113903"
"XM_022452195.1","uncharacterized","LOC111113905"
"XM_022452196.1","uncharacterized","LOC111113906"
"XM_022452197.1","uncharacterized","LOC111113907"
"XM_022452198.1","uncharacterized","LOC111113908"
"XM_022452199.1","neo-calmodulin-like","LOC111113887"
"XM_022452200.1","uncharacterized","LOC111113909"
"XM_022452201.1","uncharacterized","LOC111113910"
"XM_022452202.1","uncharacterized","LOC111113911"
"XM_022452203.1","uncharacterized","LOC111113912"
"XM_022452204.1","uncharacterized","LOC111113913"
"XM_022452205.1","neo-calmodulin-like","LOC111113887"
"XM_022452206.1","uncharacterized","LOC111113914"
"XM_022452207.1","uncharacterized","LOC111113915"
"XM_022452208.1","uncharacterized protein F54H12.2-like","LOC111113916"
"XM_022452209.1","uncharacterized","LOC111113917"
"XM_022452210.1","uncharacterized","LOC111113918"
"XM_022452211.1","uncharacterized","LOC111113919"
"XM_022452212.1","uncharacterized","LOC111113920"
"XM_022452213.1","uncharacterized","LOC111113922"
"XM_022452214.1","uncharacterized","LOC111113923"
"XM_022452215.1","uncharacterized","LOC111113924"
"XM_022452216.1","uncharacterized","LOC111113921"
"XM_022452217.1","uncharacterized","LOC111113925"
"XM_022452218.1","uncharacterized","LOC111113926"
"XM_022452219.1","histone-lysine N-methyltransferase SUV39H2-like","LOC111113927"
"XM_022452220.1","uncharacterized","LOC111113928"
"XM_022452221.1","ankyrin repeat domain-containing protein 17-like","LOC111113929"
"XM_022452222.1","uncharacterized","LOC111113930"
"XM_022452223.1","uncharacterized","LOC111113931"
"XM_022452224.1","protein YIPF3-like","LOC111113833"
"XM_022452225.1","uncharacterized","LOC111113921"
"XM_022452226.1","uncharacterized","LOC111113932"
"XM_022452227.1","uncharacterized protein F54H12.2-like","LOC111113933"
"XM_022452228.1","PWWP domain-containing protein 2A-like","LOC111113934"
"XM_022452229.1","uncharacterized","LOC111113935"
"XM_022452230.1","uncharacterized","LOC111113936"
"XM_022452231.1","uncharacterized","LOC111113937"
"XM_022452232.1","putative proline-rich protein 21","LOC111113938"
"XM_022452233.1","uncharacterized","LOC111113940"
"XM_022452234.1","uncharacterized","LOC111113941"
"XM_022452235.1","sulfate transporter-like","LOC111113939"
"XM_022452236.1","putative amine oxidase [copper-containing]","LOC111113942"
"XM_022452237.1","uncharacterized","LOC111113943"
"XM_022452238.1","sentrin-specific protease 1-like","LOC111113944"
"XM_022452239.1","probable inactive poly [ADP-ribose] polymerase SRO5","LOC111113945"
"XM_022452240.1","uncharacterized","LOC111113946"
"XM_022452241.1","uncharacterized","LOC111113947"
"XM_022452242.1","uncharacterized","LOC111113950"
"XM_022452243.1","phosphatidylcholine transfer protein-like","LOC111113948"
"XM_022452244.1","golgin subfamily A member 6-like protein 2","LOC111113951"
"XM_022452245.1","uncharacterized protein K02A2.6-like","LOC111113952"
"XM_022452246.1","E3 ubiquitin-protein ligase TRIM71-like","LOC111113953"
"XM_022452247.1","mucin-17-like","LOC111113954"
"XM_022452248.1","uncharacterized","LOC111113956"
"XM_022452249.1","uncharacterized","LOC111113957"
"XM_022452250.1","uncharacterized","LOC111113959"
"XM_022452251.1","uncharacterized","LOC111113960"
"XM_022452252.1","uncharacterized","LOC111113961"
"XM_022452253.1","homeobox protein Hox-A5-like","LOC111113958"
"XM_022452254.1","multiple epidermal growth factor-like domains protein 10","LOC111113962"
"XM_022452255.1","uncharacterized","LOC111113963"
"XM_022452256.1","uncharacterized","LOC111113964"
"XM_022452257.1","C-type mannose receptor 2-like","LOC111113965"
"XM_022452258.1","aladin-like","LOC111113966"
"XM_022452259.1","tripartite motif-containing protein 2-like","LOC111113967"
"XM_022452260.1","uncharacterized","LOC111113968"
"XM_022452261.1","sperm-associated antigen 6-like","LOC111113970"
"XM_022452262.1","techylectin-5A-like","LOC111113971"
"XM_022452263.1","ficolin-2-like","LOC111113972"
"XM_022452264.1","uncharacterized","LOC111113969"
"XM_022452265.1","lysophosphatidic acid receptor 1-B-like","LOC111113973"
"XM_022452266.1","lysophosphatidic acid receptor 1-B-like","LOC111113974"
"XM_022452267.1","melanocyte-stimulating hormone receptor-like","LOC111113975"
"XM_022452268.1","olfactory receptor 4P4-like","LOC111113976"
"XM_022452269.1","melanocortin receptor 5-like","LOC111113977"
"XM_022452270.1","sphingosine 1-phosphate receptor 2-like","LOC111113978"
"XM_022452271.1","uncharacterized","LOC111113981"
"XM_022452272.1","uncharacterized","LOC111113982"
"XM_022452273.1","laminin subunit alpha-5-like","LOC111113983"
"XM_022452274.1","DNA topoisomerase 3-beta-1-like","LOC111113980"
"XM_022452275.1","uncharacterized","LOC111113984"
"XM_022452276.1","multiple epidermal growth factor-like domains protein 11","LOC111113985"
"XM_022452277.1","uncharacterized","LOC111113986"
"XM_022452278.1","uncharacterized","LOC111113987"
"XM_022452279.1","uncharacterized","LOC111113988"
"XM_022452280.1","solute carrier family 28 member 3-like","LOC111113989"
"XM_022452281.1","3-ketoacyl-CoA thiolase B, peroxisomal-like","LOC111113990"
"XM_022452282.1","uncharacterized","LOC111113993"
"XM_022452283.1","uncharacterized","LOC111113994"
"XM_022452284.1","dermatopontin-like","LOC111113991"
"XM_022452285.1","VWFA and cache domain-containing protein 1-like","LOC111113995"
"XM_022452286.1","VWFA and cache domain-containing protein 1-like","LOC111113996"
"XM_022452287.1","uncharacterized","LOC111113997"
"XM_022452288.1","uncharacterized","LOC111113998"
"XM_022452289.1","uncharacterized","LOC111113999"
"XM_022452290.1","protein YIPF3-like","LOC111113833"
"XM_022452291.1","uncharacterized","LOC111114000"
"XM_022452292.1","uncharacterized","LOC111114002"
"XM_022452293.1","uncharacterized","LOC111114003"
"XM_022452294.1","uncharacterized","LOC111114001"
"XM_022452295.1","uncharacterized","LOC111114004"
"XM_022452296.1","uncharacterized","LOC111114006"
"XM_022452297.1","uncharacterized","LOC111114007"
"XM_022452298.1","uncharacterized","LOC111114008"
"XM_022452299.1","uncharacterized","LOC111114009"
"XM_022452300.1","uncharacterized","LOC111114010"
"XM_022452301.1","uncharacterized","LOC111114012"
"XM_022452302.1","putative inhibitor of apoptosis","LOC111114013"
"XM_022452303.1","uncharacterized","LOC111114014"
"XM_022452304.1","zinc finger protein 761-like","LOC111114011"
"XM_022452305.1","uncharacterized protein F54H12.2-like","LOC111114015"
"XM_022452306.1","putative nuclease HARBI1","LOC111114016"
"XM_022452307.1","uncharacterized","LOC111114017"
"XM_022452308.1","C3a anaphylatoxin chemotactic receptor-like","LOC111114018"
"XM_022452309.1","mucin-16-like","LOC111114019"
"XM_022452310.1","tripartite motif-containing protein 2-like","LOC111114020"
"XM_022452311.1","zinc finger protein 761-like","LOC111114011"
"XM_022452312.1","glycylpeptide N-tetradecanoyltransferase 2-like","LOC111114021"
"XM_022452313.1","uncharacterized","LOC111114024"
"XM_022452314.1","alpha-(1,3)-fucosyltransferase fut-1-like","LOC111114025"
"XM_022452315.1","uncharacterized","LOC111114026"
"XM_022452316.1","uncharacterized","LOC111114028"
"XM_022452317.1","glycoprotein 3-alpha-L-fucosyltransferase A-like","LOC111114029"
"XM_022452318.1","uncharacterized","LOC111114030"
"XM_022452319.1","mdm2-binding protein-like","LOC111114027"
"XM_022452320.1","uncharacterized","LOC111114031"
"XM_022452321.1","uncharacterized","LOC111114032"
"XM_022452322.1","uncharacterized","LOC111114033"
"XM_022452323.1","uncharacterized","LOC111114034"
"XM_022452324.1","uncharacterized","LOC111114035"
"XM_022452325.1","uncharacterized","LOC111114036"
"XM_022452326.1","uncharacterized","LOC111114038"
"XM_022452327.1","TBC1 domain family member 13-like","LOC111114039"
"XM_022452328.1","uncharacterized","LOC111114040"
"XM_022452329.1","uncharacterized","LOC111114037"
"XM_022452330.1","zinc finger protein 296-like","LOC111114041"
"XM_022452331.1","probable G-protein coupled receptor No9","LOC111114042"
"XM_022452332.1","uncharacterized","LOC111114043"
"XM_022452333.1","short-chain collagen C4-like","LOC111114044"
"XM_022452334.1","uncharacterized","LOC111114045"
"XM_022452335.1","ficolin-2-like","LOC111114046"
"XM_022452336.1","uncharacterized","LOC111114037"
"XM_022452337.1","uncharacterized","LOC111114047"
"XM_022452338.1","multimerin-2-like","LOC111114048"
"XM_022452339.1","E3 ubiquitin/ISG15 ligase TRIM25-like","LOC111114049"
"XM_022452340.1","E3 ubiquitin-protein ligase Midline-1-like","LOC111114050"
"XM_022452341.1","E3 ubiquitin-protein ligase Midline-1-like","LOC111114051"
"XM_022452342.1","E3 ubiquitin/ISG15 ligase TRIM25-like","LOC111114052"
"XM_022452343.1","E3 ubiquitin-protein ligase Midline-1-like","LOC111114054"
"XM_022452344.1","tripartite motif-containing protein 45-like","LOC111114055"
"XM_022452345.1","uncharacterized protein F54H12.2-like","LOC111114056"
"XM_022452346.1","peflin-like","LOC111114053"
"XM_022452347.1","uncharacterized","LOC111114057"
"XM_022452348.1","uncharacterized","LOC111114058"
"XM_022452349.1","putative carbonic anhydrase 2","LOC111114059"
"XM_022452350.1","uncharacterized","LOC111114060"
"XM_022452351.1","P2X purinoceptor 7-like","LOC111114061"
"XM_022452352.1","uncharacterized","LOC111114062"
"XM_022452353.1","probable ATP-dependent DNA helicase RecS","LOC111114064"
"XM_022452354.1","myb-related transcription factor, partner of profilin-like","LOC111114065"
"XM_022452355.1","putative nuclease HARBI1","LOC111114066"
"XM_022452356.1","uncharacterized","LOC111114063"
"XM_022452357.1","uncharacterized protein F54H12.2-like","LOC111114068"
"XM_022452358.1","uncharacterized","LOC111114069"
"XM_022452359.1","putative inhibitor of apoptosis","LOC111114070"
"XM_022452360.1","uncharacterized","LOC111114071"
"XM_022452361.1","uncharacterized protein K02A2.6-like","LOC111114072"
"XM_022452362.1","uncharacterized","LOC111114073"
"XM_022452363.1","uncharacterized","LOC111114074"
"XM_022452364.1","uncharacterized","LOC111114076"
"XM_022452365.1","uncharacterized","LOC111114077"
"XM_022452366.1","uncharacterized","LOC111114078"
"XM_022452367.1","uncharacterized","LOC111114075"
"XM_022452368.1","uncharacterized","LOC111114081"
"XM_022452369.1","periostin-like","LOC111114082"
"XM_022452370.1","uncharacterized","LOC111114084"
"XM_022452371.1","uncharacterized","LOC111114075"
"XM_022452372.1","piggyBac transposable element-derived protein 4-like","LOC111114086"
"XM_022452373.1","uncharacterized","LOC111114087"
"XM_022452374.1","peroxidase-like protein 3","LOC111114088"
"XM_022452375.1","uncharacterized","LOC111114075"
"XM_022452376.1","dynein heavy chain domain-containing protein 1-like","LOC111114089"
"XM_022452377.1","uncharacterized","LOC111114090"
"XM_022452378.1","dynein heavy chain domain-containing protein 1-like","LOC111114091"
"XM_022452379.1","uncharacterized","LOC111114092"
"XM_022452380.1","platelet endothelial aggregation receptor 1-like","LOC111114093"
"XM_022452381.1","uncharacterized","LOC111114094"
"XM_022452382.1","uncharacterized","LOC111114095"
"XM_022452383.1","uncharacterized","LOC111114075"
"XM_022452384.1","putative nuclease HARBI1","LOC111114096"
"XM_022452385.1","protein IMPACT-like","LOC111114097"
"XM_022452386.1","protein IMPACT homolog","LOC111114098"
"XM_022452387.1","40S ribosomal protein S11-like","LOC111114067"
"XM_022452388.1","GATA zinc finger domain-containing protein 14-like","LOC111114100"
"XM_022452389.1","uncharacterized","LOC111114101"
"XM_022452390.1","uncharacterized","LOC111114102"
"XM_022452391.1","uncharacterized","LOC111114104"
"XM_022452392.1","uncharacterized","LOC111114105"
"XM_022452393.1","uncharacterized","LOC111114106"
