"GeneID","TranscriptID","ProteinID","meanLength","Annotation_GO_ID"
"LOC111125049","XM_022468495.1","rab9 effector protein with kelch motifs-like",411,"GO:0003674"
"LOC111125049","XM_022468494.1","rab9 effector protein with kelch motifs-like",411,"GO:0003674"
"LOC111125049","XM_022468496.1","rab9 effector protein with kelch motifs-like",411,"GO:0003674"
"LOC111125050","XM_022468498.1","nose resistant to fluoxetine protein 6-like",728,"GO:0016746"
"LOC111125051","XM_022468499.1","polyprenol reductase-like",319,"GO:0006464;GO:0006629;GO:0009058;GO:0016491;GO:0044281"
"LOC111125053","XM_022468502.1","sodium-coupled monocarboxylate transporter 1-like",658,"GO:0005575;GO:0022857"
"LOC111125054","XM_022468503.1","uncharacterized",1414,"GO:0005575;GO:0022857"
"LOC111125057","XM_022468510.1","collagen alpha-3(VI) chain-like",1560,"GO:0005575;GO:0043167"
"LOC111125059","XM_022468511.1","tubulin beta chain-like",446,"GO:0003924;GO:0005198;GO:0005856;GO:0008150;GO:0043167"
"LOC111125061","XM_022468518.1","arachidonate 5-lipoxygenase-like",688.5,"GO:0006520;GO:0006950;GO:0016491;GO:0034641;GO:0043167"
"LOC111125061","XM_022468515.1","arachidonate 5-lipoxygenase-like",688.5,"GO:0006520;GO:0006950;GO:0016491;GO:0034641;GO:0043167"
"LOC111125061","XM_022468516.1","arachidonate 5-lipoxygenase-like",688.5,"GO:0006520;GO:0006950;GO:0016491;GO:0034641;GO:0043167"
"LOC111125061","XM_022468517.1","arachidonate 5-lipoxygenase-like",688.5,"GO:0006520;GO:0006950;GO:0016491;GO:0034641;GO:0043167"
"LOC111125063","XM_022468519.1","protocadherin Fat 4-like",1117.5,"GO:0005886;GO:0007155;GO:0043167"
"LOC111125063","XM_022468520.1","protocadherin Fat 4-like",1117.5,"GO:0005886;GO:0007155;GO:0043167"
"LOC111125064","XM_022468521.1","neuronal acetylcholine receptor subunit alpha-9-like",504,"GO:0005575;GO:0007165;GO:0022857"
"LOC111125066","XM_022468523.1","uncharacterized",152,"GO:0043167"
"LOC111125067","XM_022468524.1","uncharacterized",138,"GO:0043167"
"LOC111125069","XM_022468525.1","uncharacterized",136,"GO:0043167"
"LOC111125070","XM_022468526.1","calpain-15-like",1098,"GO:0005622;GO:0008233"
"LOC111125072","XM_022468529.1","sodium/potassium-transporting ATPase subunit alpha-like",1034,"GO:0005575;GO:0016887;GO:0022857;GO:0043167"
"LOC111125073","XM_022468530.1","glycogen synthase kinase-3 beta-like",412,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125074","XM_022468532.1","adenylate kinase 8-like",485,"GO:0016301;GO:0034641;GO:0043167;GO:0044281"
"LOC111125074","XM_022468531.1","adenylate kinase 8-like",485,"GO:0016301;GO:0034641;GO:0043167;GO:0044281"
"LOC111125076","XM_022468533.1","surfeit locus protein 4-like",270,"GO:0005575"
"LOC111125079","XM_022468536.1","putative Ras-related protein Rab-33",219,"GO:0003924;GO:0043167"
"LOC111125080","XM_022468538.1","ras-related protein Rab-30-like",203,"GO:0003924;GO:0043167"
"LOC111125080","XM_022468539.1","ras-related protein Rab-30-like",203,"GO:0003924;GO:0043167"
"LOC111125080","XM_022468537.1","ras-related protein Rab-30-like",203,"GO:0003924;GO:0043167"
"LOC111125080","XM_022468540.1","ras-related protein Rab-30-like",203,"GO:0003924;GO:0043167"
"LOC111125081","XM_022468541.1","beta-1,3-galactosyltransferase 1-like",400,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"LOC111125081","XM_022468542.1","beta-1,3-galactosyltransferase 1-like",400,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"LOC111125083","XM_022468543.1","ganglioside GM2 activator-like",210,"GO:0006629;GO:0009056;GO:0030234;GO:0034641"
"LOC111125084","XM_022468544.1","fibroblast growth factor receptor 2-like",964.75,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125084","XM_022468546.1","fibroblast growth factor receptor 2-like",964.75,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125084","XM_022468547.1","fibroblast growth factor receptor 2-like",964.75,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125084","XM_022468545.1","fibroblast growth factor receptor 2-like",964.75,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125085","XM_022468548.1","solute carrier family 26 member 10-like",733,"GO:0005575;GO:0022857"
"LOC111125088","XM_022468552.1","uncharacterized",911,"GO:0008219"
"LOC111125089","XM_022468555.1","sodium bicarbonate transporter-like protein 11",892.8,"GO:0005575;GO:0022857"
"LOC111125089","XM_022468553.1","sodium bicarbonate transporter-like protein 11",892.8,"GO:0005575;GO:0022857"
"LOC111125089","XM_022468554.1","sodium bicarbonate transporter-like protein 11",892.8,"GO:0005575;GO:0022857"
"LOC111125089","XM_022468556.1","sodium bicarbonate transporter-like protein 11",892.8,"GO:0005575;GO:0022857"
"LOC111125089","XM_022468557.1","sodium bicarbonate transporter-like protein 11",892.8,"GO:0005575;GO:0022857"
"LOC111125090","XM_022468558.1","DNA-directed RNA polymerase I subunit RPA49-like",405,"GO:0003677;GO:0005730;GO:0009058;GO:0016779;GO:0034641;GO:0044281"
"LOC111125093","XM_022468564.1","uncharacterized",552,"GO:0009058;GO:0034641;GO:0043167"
"LOC111125094","XM_022468566.1","uncharacterized",464.5,"GO:0003674"
"LOC111125094","XM_022468565.1","uncharacterized",464.5,"GO:0003674"
"LOC111125097","XM_022468568.1","alpha-N-acetylgalactosaminidase-like",404,"GO:0005975;GO:0016798"
"LOC111125099","XM_022468570.1","endophilin-B1-like",390,"GO:0003674;GO:0005737"
"LOC111125100","XM_022468571.1","inositol-trisphosphate 3-kinase homolog",453,"GO:0009058;GO:0016301;GO:0044281"
"LOC111125101","XM_022468573.1","hyaluronan mediated motility receptor-like",1373,"GO:0043167"
"LOC111125101","XM_022468572.1","hyaluronan mediated motility receptor-like",1373,"GO:0043167"
"LOC111125104","XM_022468576.1","large subunit GTPase 1 homolog",626,"GO:0043167"
"LOC111125105","XM_022468577.1","serine/threonine-protein kinase N2-like",1000,"GO:0006464;GO:0006520;GO:0007165;GO:0016301;GO:0019899;GO:0043167"
"LOC111125107","XM_022468579.1","sister chromatid cohesion protein PDS5 homolog B-like",1458,"GO:0007059;GO:0051276;GO:0140014"
"LOC111125108","XM_022468581.1","uncharacterized",473,"GO:0043167"
"LOC111125108","XM_022468580.1","uncharacterized",473,"GO:0043167"
"LOC111125109","XM_022468582.1","uncharacterized",468,"GO:0043167"
"LOC111125112","XM_022468587.1","1-acyl-sn-glycerol-3-phosphate acyltransferase beta-like",276,"GO:0016746"
"LOC111125113","XM_022468588.1","arginine--tRNA ligase, cytoplasmic-like",661,"GO:0005737;GO:0006399;GO:0006412;GO:0006520;GO:0016874;GO:0043167"
"LOC111125115","XM_022468590.1","galectin-4-like",313,"GO:0003674"
"LOC111125117","XM_022468598.1","uncharacterized",683,"GO:0003674"
"LOC111125118","XM_022468599.1","F-box/LRR-repeat protein 6-like",485,"GO:0003674"
"LOC111125119","XM_022468601.1","serine/threonine-protein kinase DCLK1-like",694.333333333333,"GO:0006464;GO:0007165;GO:0016301;GO:0043167"
"LOC111125119","XM_022468602.1","serine/threonine-protein kinase DCLK1-like",694.333333333333,"GO:0006464;GO:0007165;GO:0016301;GO:0043167"
"LOC111125119","XM_022468600.1","serine/threonine-protein kinase DCLK1-like",694.333333333333,"GO:0006464;GO:0007165;GO:0016301;GO:0043167"
"LOC111125120","XM_022468603.1","disrupted in renal carcinoma protein 2 homolog",468,"GO:0005575;GO:0055085"
"LOC111125123","XM_022468612.1","retinoic acid receptor beta-like",452.666666666667,"GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0009058;GO:0034641;GO:0043167"
"LOC111125123","XM_022468611.1","retinoic acid receptor beta-like",452.666666666667,"GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0009058;GO:0034641;GO:0043167"
"LOC111125123","XM_022468609.1","retinoic acid receptor beta-like",452.666666666667,"GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0009058;GO:0034641;GO:0043167"
"LOC111125123","XM_022468613.1","retinoic acid receptor beta-like",452.666666666667,"GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0009058;GO:0034641;GO:0043167"
"LOC111125123","XM_022468610.1","retinoic acid receptor beta-like",452.666666666667,"GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0009058;GO:0034641;GO:0043167"
"LOC111125123","XM_022468614.1","retinoic acid receptor beta-like",452.666666666667,"GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0009058;GO:0034641;GO:0043167"
"LOC111125126","XM_022468620.1","uncharacterized",242,"GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"LOC111125127","XM_022468621.1","uncharacterized",554,"GO:0043167"
"LOC111125129","XM_022468623.1","DNA topoisomerase 2-beta-like",1533,"GO:0003677;GO:0006259;GO:0016853;GO:0016887;GO:0043167;GO:0051276"
"LOC111125130","XM_022468624.1","metallophosphoesterase MPPED2-like",319,"GO:0003674"
"LOC111125130","XM_022468625.1","metallophosphoesterase MPPED2-like",319,"GO:0003674"
"LOC111125131","XM_022468627.1","vesicle-associated membrane protein 7-like",220,"GO:0005575;GO:0016192"
"LOC111125131","XM_022468626.1","vesicle-associated membrane protein 7-like",220,"GO:0005575;GO:0016192"
"LOC111125132","XM_022468629.1","cubilin-like",665,"GO:0003674"
"LOC111125132","XM_022468628.1","cubilin-like",665,"GO:0003674"
"LOC111125134","XM_022468636.1","cyclin-dependent kinase-like 5",1015.57142857143,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125134","XM_022468635.1","cyclin-dependent kinase-like 5",1015.57142857143,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125134","XM_022468637.1","cyclin-dependent kinase-like 5",1015.57142857143,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125134","XM_022468633.1","cyclin-dependent kinase-like 5",1015.57142857143,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125134","XM_022468634.1","cyclin-dependent kinase-like 5",1015.57142857143,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125134","XM_022468632.1","cyclin-dependent kinase-like 5",1015.57142857143,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125134","XM_022468631.1","cyclin-dependent kinase-like 5",1015.57142857143,"GO:0006464;GO:0016301;GO:0043167"
"LOC111125136","XM_022468639.1","BTB/POZ domain-containing protein 6-B-like",478,"GO:0003674"
"LOC111125137","XM_022468640.1","mothers against decapentaplegic homolog 5-like",457,"GO:0003700;GO:0005622;GO:0007165;GO:0009058;GO:0032991;GO:0034641"
"LOC111125138","XM_022468641.1","nucleolar and coiled-body phosphoprotein 1-like",823,"GO:0005730"
"LOC111125139","XM_022468642.1","uncharacterized",325,"GO:0003674;GO:0005975"
"LOC111125143","XM_022468668.1","contactin-4-like",366,"GO:0005575;GO:0007155"
"LOC111125143","XM_022468668.1","contactin-4-like",366,"GO:0000003;GO:0003674;GO:0005575;GO:0007155;GO:0030154;GO:0044403;GO:0048856"
"LOC111125143","XM_022468658.1","contactin-4-like",366,"GO:0005575;GO:0007155"
"LOC111125143","XM_022468658.1","contactin-4-like",366,"GO:0000003;GO:0003674;GO:0005575;GO:0007155;GO:0030154;GO:0044403;GO:0048856"
"LOC111125143","XM_022468649.1","contactin-4-like",366,"GO:0005575;GO:0007155"
"LOC111125143","XM_022468649.1","contactin-4-like",366,"GO:0000003;GO:0003674;GO:0005575;GO:0007155;GO:0030154;GO:0044403;GO:0048856"
"LOC111125143","XM_022468678.1","contactin-4-like",366,"GO:0005575;GO:0007155"
"LOC111125143","XM_022468678.1","contactin-4-like",366,"GO:0000003;GO:0003674;GO:0005575;GO:0007155;GO:0030154;GO:0044403;GO:0048856"
"LOC111125144","XM_022468646.1","ras-related protein Rab-5B-like",213,"GO:0003924;GO:0043167"
"LOC111125144","XM_022468645.1","ras-related protein Rab-5B-like",213,"GO:0003924;GO:0043167"
"LOC111125147","XM_022468650.1","F-box only protein 38-like",1262,"GO:0003674"
"LOC111125148","XM_022468651.1","aromatic-L-amino-acid decarboxylase-like",476,"GO:0006520;GO:0016829;GO:0043167"
"LOC111125148","XM_022468652.1","aromatic-L-amino-acid decarboxylase-like",476,"GO:0006520;GO:0016829;GO:0043167"
"LOC111125149","XM_022468653.1","multidrug resistance-associated protein 7-like",1518,"GO:0005575;GO:0016887;GO:0022857;GO:0043167"
"LOC111125149","XM_022468654.1","multidrug resistance-associated protein 7-like",1518,"GO:0005575;GO:0016887;GO:0022857;GO:0043167"
"LOC111125150","XM_022468655.1","flocculation protein FLO11-like",1498,"GO:0008233"
"LOC111125151","XM_022468660.1","kinesin-like protein KIF16B",1213.25,"GO:0005856;GO:0008092;GO:0008150;GO:0008289;GO:0032991;GO:0043167"
"LOC111125151","XM_022468661.1","kinesin-like protein KIF16B",1213.25,"GO:0005856;GO:0008092;GO:0008150;GO:0008289;GO:0032991;GO:0043167"
"LOC111125151","XM_022468659.1","kinesin-like protein KIF16B",1213.25,"GO:0005856;GO:0008092;GO:0008150;GO:0008289;GO:0032991;GO:0043167"
"LOC111125151","XM_022468656.1","kinesin-like protein KIF16B",1213.25,"GO:0005856;GO:0008092;GO:0008150;GO:0008289;GO:0032991;GO:0043167"
"LOC111125152","XM_022468662.1","snake venom metalloproteinase BaP1-like",955.666666666667,"GO:0008233"
"LOC111125152","XM_022468664.1","snake venom metalloproteinase BaP1-like",955.666666666667,"GO:0008233"
"LOC111125152","XM_022468663.1","snake venom metalloproteinase BaP1-like",955.666666666667,"GO:0008233"
"LOC111125153","XM_022468666.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",1031.42857142857,"GO:0008233"
"LOC111125153","XM_022468670.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",1031.42857142857,"GO:0008233"
"LOC111125153","XM_022468669.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",1031.42857142857,"GO:0008233"
"LOC111125153","XM_022468667.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",1031.42857142857,"GO:0008233"
"LOC111125153","XM_022468672.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",1031.42857142857,"GO:0008233"
"LOC111125153","XM_022468665.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",1031.42857142857,"GO:0008233"
"LOC111125153","XM_022468671.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",1031.42857142857,"GO:0008233"
"LOC111125155","XM_022468677.1","ribosomal protein S6 kinase alpha-5-like",910,"GO:0006464;GO:0006520;GO:0007165;GO:0016301;GO:0043167"
"LOC111125156","XM_022468680.1","zinc metalloproteinase-disintegrin-like atrase-A",822,"GO:0008233"
"LOC111125156","XM_022468679.1","zinc metalloproteinase-disintegrin-like atrase-A",822,"GO:0008233"
"LOC111125157","XM_022468683.1","glycogen phosphorylase, muscle form-like",862,"GO:0005975;GO:0016757;GO:0043167"
"LOC111125157","XM_022468682.1","glycogen phosphorylase, muscle form-like",862,"GO:0005975;GO:0016757;GO:0043167"
"LOC111125157","XM_022468681.1","glycogen phosphorylase, muscle form-like",862,"GO:0005975;GO:0016757;GO:0043167"
"LOC111125157","XM_022468684.1","glycogen phosphorylase, muscle form-like",862,"GO:0005975;GO:0016757;GO:0043167"
"LOC111125158","XM_022468685.1","uncharacterized",738.5,"GO:0003674;GO:0005575;GO:0007165"
"LOC111125158","XM_022468686.1","uncharacterized",738.5,"GO:0003674;GO:0005575;GO:0007165"
"LOC111125159","XM_022468689.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",701.5,"GO:0008233"
"LOC111125159","XM_022468688.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",701.5,"GO:0008233"
"LOC111125159","XM_022468690.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",701.5,"GO:0008233"
"LOC111125159","XM_022468687.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",701.5,"GO:0008233"
"LOC111125160","XM_022468692.1","protein DEFECTIVE IN EXINE FORMATION 1-like",679,"GO:0003674"
"LOC111125160","XM_022468691.1","protein DEFECTIVE IN EXINE FORMATION 1-like",679,"GO:0003674"
"LOC111125161","XM_022468696.1","cell adhesion molecule 3-like",261,"GO:0005575;GO:0007155"
"LOC111125162","XM_022468693.1","neutral and basic amino acid transport protein rBAT-like",622,"GO:0003674;GO:0005975"
"LOC111125162","XM_022468694.1","neutral and basic amino acid transport protein rBAT-like",622,"GO:0003674;GO:0005975"
"LOC111125163","XM_022468695.1","sushi, nidogen and EGF-like domain-containing protein 1",683,"GO:0007155;GO:0043167"
"LOC111125167","XM_022468701.1","calpain-9-like",544,"GO:0005622;GO:0008233"
"LOC111125168","XM_022468702.1","DDB1- and CUL4-associated factor 4-like",495,"GO:0003674"
"LOC111125169","XM_022468703.1","RNA polymerase II-associated factor 1 homolog",482,"GO:0005654;GO:0006464;GO:0009058;GO:0032991;GO:0034641;GO:0051276"
"LOC111125170","XM_022468705.1","MFS-type transporter SLC18B1-like",473,"GO:0005575;GO:0055085"
"LOC111125170","XM_022468704.1","MFS-type transporter SLC18B1-like",473,"GO:0005575;GO:0055085"
"LOC111125171","XM_022468707.1","kinesin-like protein KIF16B",426,"GO:0005856;GO:0008092;GO:0008150;GO:0032991;GO:0043167"
"LOC111125171","XM_022468706.1","kinesin-like protein KIF16B",426,"GO:0005856;GO:0008092;GO:0008150;GO:0032991;GO:0043167"
"LOC111125174","XM_022468710.1","vasohibin-2-like",379,"GO:0005737;GO:0048646"
"LOC111125174","XM_022468709.1","vasohibin-2-like",379,"GO:0005737;GO:0048646"
"LOC111125175","XM_022468712.1","nucleic acid dioxygenase ALKBH1-like",375,"GO:0008150"
"LOC111125176","XM_022468714.1","translin-associated protein X-like",268,"GO:0003677"
"LOC111125176","XM_022468713.1","translin-associated protein X-like",268,"GO:0003677"
"LOC111125177","XM_022468715.1","phosphatidylinositol-glycan biosynthesis class F protein-like",228,"GO:0005737;GO:0005783;GO:0006464;GO:0006629;GO:0009058"
"LOC111125178","XM_022468716.1","mediator of RNA polymerase II transcription subunit 29-like",168,"GO:0005654;GO:0032991"
"LOC111125180","XM_022468719.1","probable ergosterol biosynthetic protein 28",153,"GO:0005575"
"LOC111125182","XM_022468720.1","F-box only protein 48-like",131,"GO:0003674"
"LOC111125183","XM_022468721.1","F-box only protein 48-like",125,"GO:0003674"
"LOC111125186","XM_022468723.1","tryptophan--tRNA ligase, cytoplasmic-like",411,"GO:0006399;GO:0006412;GO:0006520;GO:0016874;GO:0043167"
"LOC111125187","XM_022468724.1","tryptophan 2,3-dioxygenase-like",400,"GO:0006520;GO:0009056;GO:0016491;GO:0034641;GO:0043167"
"LOC111125187","XM_022468725.1","tryptophan 2,3-dioxygenase-like",400,"GO:0006520;GO:0009056;GO:0016491;GO:0034641;GO:0043167"
"LOC111125188","XM_022468726.1","multidrug resistance-associated protein 5-like",1445,"GO:0005575;GO:0016887;GO:0022857;GO:0043167"
"LOC111125191","XM_022468728.1","barH-like 1 homeobox protein",242,"GO:0003677;GO:0009058;GO:0034641"
"LOC111125194","XM_022468731.1","guanylate kinase-like",314.25,"GO:0016301;GO:0034641;GO:0044281"
"LOC111125194","XM_022468733.1","guanylate kinase-like",314.25,"GO:0016301;GO:0034641;GO:0044281"
"LOC111125194","XM_022468734.1","guanylate kinase-like",314.25,"GO:0016301;GO:0034641;GO:0044281"
"LOC111125194","XM_022468732.1","guanylate kinase-like",314.25,"GO:0016301;GO:0034641;GO:0044281"
"LOC111125196","XM_022468736.1","uncharacterized",269,"GO:0003674"
"LOC111125196","XM_022468735.1","uncharacterized",269,"GO:0003674"
"LOC111125197","XM_022468737.1","cathepsin L1-like",327,"GO:0008233"
"LOC111125198","XM_022468738.1","protein Shroom3-like",2309,"GO:0005575;GO:0007010;GO:0008092;GO:0048856"
"LOC111125199","XM_022468740.1","uncharacterized",666,"GO:0006399;GO:0008168"
"LOC111125199","XM_022468743.1","uncharacterized",666,"GO:0006399;GO:0008168"
"LOC111125199","XM_022468741.1","uncharacterized",666,"GO:0006399;GO:0008168"
"LOC111125199","XM_022468742.1","uncharacterized",666,"GO:0006399;GO:0008168"
"LOC111125200","XM_022468782.1","3-oxo-5-alpha-steroid 4-dehydrogenase 2-like",269,"GO:0005575;GO:0006629;GO:0009058;GO:0016491;GO:0044281"
"LOC111125201","XM_022468754.1","probable methyltransferase-like protein 15 homolog",432.666666666667,"GO:0008168"
"LOC111125201","XM_022468761.1","probable methyltransferase-like protein 15 homolog",432.666666666667,"GO:0008168"
"LOC111125201","XM_022468745.1","probable methyltransferase-like protein 15 homolog",432.666666666667,"GO:0008168"
"LOC111125202","XM_022468744.1","lipoyl synthase, mitochondrial-like",373,"GO:0003674;GO:0006629;GO:0006790;GO:0009058;GO:0044281;GO:0051186"
"LOC111125203","XM_022468746.1","acid-sensing ion channel 1C-like",476,"GO:0005575;GO:0022857"
"LOC111125205","XM_022468752.1","syntaxin-binding protein 1-like",607.666666666667,"GO:0016192"
"LOC111125205","XM_022468755.1","syntaxin-binding protein 1-like",607.666666666667,"GO:0016192"
"LOC111125205","XM_022468753.1","syntaxin-binding protein 1-like",607.666666666667,"GO:0016192"
"LOC111125206","XM_022468757.1","ubiquitin carboxyl-terminal hydrolase 25-like",1043.66666666667,"GO:0006464;GO:0008233;GO:0009056"
"LOC111125206","XM_022468756.1","ubiquitin carboxyl-terminal hydrolase 25-like",1043.66666666667,"GO:0006464;GO:0008233;GO:0009056"
"LOC111125206","XM_022468758.1","ubiquitin carboxyl-terminal hydrolase 25-like",1043.66666666667,"GO:0006464;GO:0008233;GO:0009056"
"LOC111125208","XM_022468764.1","uncharacterized",1786.83333333333,"GO:0016757"
"LOC111125208","XM_022468765.1","uncharacterized",1786.83333333333,"GO:0016757"
"LOC111125208","XM_022468762.1","uncharacterized",1786.83333333333,"GO:0016757"
"LOC111125208","XM_022468763.1","uncharacterized",1786.83333333333,"GO:0016757"
"LOC111125208","XM_022468759.1","uncharacterized",1786.83333333333,"GO:0016757"
"LOC111125208","XM_022468760.1","uncharacterized",1786.83333333333,"GO:0016757"
"LOC111125209","XM_022468766.1","protocadherin Fat 1-like",4617,"GO:0005886;GO:0007155;GO:0043167"
"LOC111125210","XM_022468767.1","serum paraoxonase/arylesterase 1-like",353,"GO:0003674"
"LOC111125211","XM_022468769.1","serum paraoxonase/lactonase 3-like",370.5,"GO:0003674"
"LOC111125211","XM_022468768.1","serum paraoxonase/lactonase 3-like",370.5,"GO:0003674"
"LOC111125214","XM_022468772.1","transcription initiation factor TFIID subunit 1-like",1883.5,"GO:0003674"
"LOC111125214","XM_022468771.1","transcription initiation factor TFIID subunit 1-like",1883.5,"GO:0003674"
"LOC111125215","XM_022468773.1","chitinase-3-like protein 2",524,"GO:0005975;GO:0016798"
"LOC111125216","XM_022468775.1","chitinase-3-like protein 2",516,"GO:0003674;GO:0005975"
"LOC111125217","XM_022468776.1","chitinase-3-like protein 2",505,"GO:0005975;GO:0016798"
"LOC111125218","XM_022468777.1","glyoxylate reductase/hydroxypyruvate reductase-like",242,"GO:0016491"
"LOC111125223","XM_022468787.1","TGF-beta receptor type-1-like",516,"GO:0005575;GO:0006464;GO:0006520;GO:0007165;GO:0016301;GO:0043167"
"LOC111125225","XM_022468798.1","uncharacterized",1003,"GO:0007165"
"LOC111125227","XM_022468800.1","tetraspanin-9-like",278,"GO:0005575"
"LOC111125229","XM_022468803.1","WW domain-containing adapter protein with coiled-coil-like",619,"GO:0003674"
"LOC111125231","XM_022468804.1","ubiquitin-protein ligase E3A-like",913,"GO:0003674;GO:0006464"
"LOC111125232","XM_022468805.1","ADAM 17-like protease",715,"GO:0008233"
"LOC111125235","XM_022468810.1","uncharacterized",182,"GO:0043167"
"LOC111125236","XM_022468811.1","uncharacterized",144,"GO:0043167"
"LOC111125237","XM_022468812.1","circadian locomoter output cycles protein kaput-like",640.5,"GO:0003700;GO:0005634;GO:0005737;GO:0009058;GO:0032991;GO:0034641"
"LOC111125237","XM_022468813.1","circadian locomoter output cycles protein kaput-like",640.5,"GO:0003700;GO:0005634;GO:0005737;GO:0009058;GO:0032991;GO:0034641"
"LOC111125239","XM_022468819.1","CD63 antigen-like",316,"GO:0005575"
"LOC111125240","XM_022468823.1","40S ribosomal protein S26-like",127.333333333333,"GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"LOC111125240","XM_022468821.1","40S ribosomal protein S26-like",127.333333333333,"GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"LOC111125240","XM_022468822.1","40S ribosomal protein S26-like",127.333333333333,"GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"LOC111125241","XM_022468824.1","serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform-like",1039,"GO:0004518"
"LOC111125242","XM_022468827.1","beta-1,3-galactosyltransferase 1-like",389.5,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"LOC111125242","XM_022468828.1","beta-1,3-galactosyltransferase 1-like",389.5,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"LOC111125242","XM_022468826.1","beta-1,3-galactosyltransferase 1-like",389.5,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"LOC111125242","XM_022468825.1","beta-1,3-galactosyltransferase 1-like",389.5,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"LOC111125243","XM_022468840.1","protocadherin Fat 4-like",804,"GO:0005886;GO:0007155;GO:0043167"
"LOC111125243","XM_022468857.1","protocadherin Fat 4-like",804,"GO:0005886;GO:0007155;GO:0043167"
"LOC111125243","XM_022468832.1","protocadherin Fat 4-like",804,"GO:0005886;GO:0007155;GO:0043167"
"LOC111125243","XM_022468849.1","protocadherin Fat 4-like",804,"GO:0005886;GO:0007155;GO:0043167"
"LOC111125248","XM_022468835.1","lymphocyte-specific helicase-like",940,"GO:0043167"
"LOC111125250","XM_022468838.1","dynein heavy chain 7, axonemal-like",4028,"GO:0005856;GO:0008150;GO:0032991;GO:0043167"
"LOC111125251","XM_022468839.1","melanopsin-like",422,"GO:0003674;GO:0005575;GO:0007165"
"LOC111125252","XM_022468841.1","tubulin delta chain-like",404,"GO:0003924;GO:0005856;GO:0008150;GO:0043167"
"LOC111125253","XM_022468842.1","dynein heavy chain 7, axonemal-like",304.5,"GO:0003674;GO:0005856;GO:0008150"
"LOC111125253","XM_022468843.1","dynein heavy chain 7, axonemal-like",304.5,"GO:0003674;GO:0005856;GO:0008150"
"LOC111125256","XM_022468850.1","zinc finger BED domain-containing protein 1-like",647,"GO:0003677"
"LOC111125258","XM_022468852.1","uncharacterized",559,"GO:0043167"
"LOC111125259","XM_022468853.1","protein wech-like",558,"GO:0043167"
"LOC111125260","XM_022468854.1","transcription factor Sp9-like",409.5,"GO:0003674"
"LOC111125260","XM_022468855.1","transcription factor Sp9-like",409.5,"GO:0003674"
"LOC111125261","XM_022468856.1","transcription factor Sp9-like",410,"GO:0003674"
"LOC111125262","XM_022468858.1","obg-like ATPase 1",397,"GO:0043167"
"LOC111125267","XM_022468907.1","motor neuron and pancreas homeobox protein 1-like",341,"GO:0003677;GO:0009058;GO:0034641"
"LOC111125271","XM_022468867.1","nuclear factor related to kappa-B-binding protein-like",1300,"GO:0000228;GO:0032991"
"LOC111125271","XM_022468868.1","nuclear factor related to kappa-B-binding protein-like",1300,"GO:0000228;GO:0032991"
"LOC111125271","XM_022468870.1","nuclear factor related to kappa-B-binding protein-like",1300,"GO:0000228;GO:0032991"
"LOC111125272","XM_022468871.1","eukaryotic translation initiation factor 3 subunit F-like",302,"GO:0005840;GO:0008135"
"LOC111125273","XM_022468872.1","tubulin polyglutamylase TTLL11-like",636,"GO:0006464;GO:0043167"
